test ;dec  size(%) ;dec  time  node.js(%) ;dec  time  v8(%) ;size  before ;size  after ;exec  time  before  node ;exec  time  after  node ;exec  time  before  v8 ;exec  time  after  v8
3d-cube.js ;61 ;-0 ;3 ;8564 ;3413 ;77.0 ;77.0 ;40.0 ;39.0
3d-morph.js ;85 ;-20 ;-2 ;2434 ;366 ;68.0 ;85.0 ;50.0 ;51.0
access-binary-trees.js ;73 ;-0 ;29 ;1366 ;377 ;56.0 ;56.0 ;35.0 ;25.0
access-fannkuch.js ;70 ;31 ;-37 ;1673 ;509 ;152.0 ;105.0 ;57.0 ;91.0
access-nbody.js ;62 ;-14 ;-22 ;4289 ;1644 ;63.0 ;73.0 ;32.0 ;41.0
access-nsieve.js ;72 ;15 ;-27 ;907 ;255 ;74.0 ;63.0 ;38.0 ;52.0
bitops-3bit-bits-in-byte.js ;77 ;-16 ;-6 ;930 ;217 ;52.0 ;62.0 ;30.0 ;32.0
bitops-bits-in-byte.js ;70 ;-3 ;-14 ;571 ;172 ;59.0 ;61.0 ;30.0 ;35.0
bitops-bitwise-and.js ;91 ;-9 ;-9 ;1591 ;147 ;59.0 ;65.0 ;29.0 ;32.0
bitops-nsieve-bits.js ;63 ;-15 ;-30 ;889 ;334 ;58.0 ;68.0 ;33.0 ;47.0
controlflow-recursive.js ;55 ;-0 ;10 ;675 ;304 ;55.0 ;55.0 ;29.0 ;26.0
crypto-aes.js ;55 ;-0 ;-3 ;17164 ;7738 ;61.0 ;61.0 ;33.0 ;34.0
crypto-md5.js ;59 ;2 ;3 ;9903 ;4150 ;60.0 ;59.0 ;31.0 ;30.0
crypto-sha1.js ;75 ;23 ;-31 ;6507 ;1652 ;104.0 ;80.0 ;41.0 ;59.0
function-closure.js ;71 ;-9 ;-5 ;81 ;24 ;87.0 ;96.0 ;37.0 ;39.0
function-correct-args.js ;82 ;21 ;2 ;127 ;24 ;94.0 ;74.0 ;43.0 ;42.0
function-empty.js ;61 ;4 ;-3 ;61 ;24 ;54.0 ;52.0 ;32.0 ;33.0
function-excess-args.js ;78 ;4 ;-0 ;107 ;24 ;54.0 ;52.0 ;30.0 ;30.0
function-missing-args.js ;76 ;2 ;3 ;99 ;24 ;54.0 ;53.0 ;30.0 ;29.0
function-sum.js ;75 ;5 ;3 ;97 ;25 ;57.0 ;54.0 ;31.0 ;30.0
loop-empty-resolve.js ;42 ;3 ;-0 ;36 ;21 ;60.0 ;58.0 ;27.0 ;27.0
loop-empty.js ;42 ;1 ;9 ;41 ;24 ;80.0 ;79.0 ;56.0 ;51.0
math-partial-sums.js ;66 ;-7 ;-36 ;1078 ;374 ;65.0 ;70.0 ;36.0 ;56.0
math-spectral-norm.js ;46 ;5 ;20 ;1028 ;558 ;83.0 ;79.0 ;35.0 ;28.0
string-fasta.js ;24 ;6 ;-21 ;1994 ;1530 ;77.0 ;72.0 ;44.0 ;56.0
string-unpack-code.js ;2 ;5 ;2 ;167215 ;164948 ;88.0 ;84.0 ;57.0 ;56.0
 ;62 ;1 ;-6
