test ;dec  size(%) ;dec  time(%) ;size  before ;size  after ;exec  time  before ;exec  time  after
3d-cube.js ;39 ;-84 ;8564 ;3413 ;0.0697410106659 ;0.0825939178467
3d-morph.js ;15 ;-81 ;2434 ;366 ;0.0676701068878 ;0.0832600593567
access-binary-trees.js ;27 ;87 ;1366 ;377 ;0.0757460594177 ;0.0660150051117
access-fannkuch.js ;30 ;-96 ;1673 ;509 ;0.0619299411774 ;0.0643718242645
access-nbody.js ;38 ;-97 ;4289 ;1644 ;0.0606770515442 ;0.0624270439148
access-nsieve.js ;28 ;-80 ;907 ;255 ;0.0639021396637 ;0.0797879695892
bitops-3bit-bits-in-byte.js ;23 ;-87 ;930 ;217 ;0.0572919845581 ;0.0658400058746
bitops-bits-in-byte.js ;30 ;94 ;571 ;172 ;0.0583369731903 ;0.0550739765167
bitops-bitwise-and.js ;9 ;-92 ;1591 ;147 ;0.0571959018707 ;0.062450170517
bitops-nsieve-bits.js ;37 ;-99 ;889 ;334 ;0.0576288700104 ;0.058189868927
controlflow-recursive.js ;45 ;98 ;675 ;304 ;0.0561008453369 ;0.0546998977661
crypto-aes.js ;45 ;-99 ;17164 ;7738 ;0.0637590885162 ;0.0645709037781
crypto-md5.js ;41 ;94 ;9903 ;4150 ;0.0635318756104 ;0.0597097873688
crypto-sha1.js ;25 ;-87 ;6507 ;1652 ;0.0615818500519 ;0.0705919265747
fbench.js ;0 ;-94 ;9592 ;1 ;0.0544281005859 ;0.0580670833588
function-closure.js ;29 ;-99 ;81 ;24 ;0.0589089393616 ;0.0597009658813
function-correct-args.js ;18 ;98 ;127 ;24 ;0.0638239383698 ;0.0628318786621
function-empty.js ;39 ;-89 ;61 ;24 ;0.0533711910248 ;0.0596940517426
function-excess-args.js ;22 ;99 ;107 ;24 ;0.0541861057281 ;0.0536830425262
function-missing-args.js ;24 ;94 ;99 ;24 ;0.0619699954987 ;0.0582931041718
function-sum.js ;25 ;-92 ;97 ;25 ;0.0641770362854 ;0.0700600147247
loop-empty-resolve.js ;58 ;92 ;36 ;21 ;0.0641582012177 ;0.0588011741638
loop-empty.js ;58 ;-93 ;41 ;24 ;0.0604729652405 ;0.0647768974304
math-partial-sums.js ;34 ;-87 ;1078 ;374 ;0.0689730644226 ;0.0796749591827
math-spectral-norm.js ;54 ;98 ;1028 ;558 ;0.0551769733429 ;0.0541310310364
string-fasta.js ;76 ;97 ;1994 ;1530 ;0.0823929309845 ;0.0798299312592
string-unpack-code.js ;98 ;88 ;167215 ;164948 ;0.128514051437 ;0.112776041031
 ;35 ;-15
