test ;dec  size(%) ;dec  time(%) ;size  before ;size  after ;exec  time  before ;exec  time  after
3d-cube.js ;39 ;-99 ;8564 ;3413 ;0.0376720428467 ;0.0379388332367
3d-morph.js ;15 ;-78 ;2434 ;366 ;0.0493290424347 ;0.0632979869843
access-binary-trees.js ;27 ;91 ;1366 ;377 ;0.0321521759033 ;0.0293920040131
access-fannkuch.js ;30 ;-56 ;1673 ;509 ;0.0329399108887 ;0.0589668750763
access-nbody.js ;38 ;-99 ;4289 ;1644 ;0.0290868282318 ;0.0292749404907
access-nsieve.js ;28 ;-69 ;907 ;255 ;0.034686088562 ;0.0503051280975
bitops-3bit-bits-in-byte.js ;23 ;95 ;930 ;217 ;0.0331201553345 ;0.0316078662872
bitops-bits-in-byte.js ;30 ;-83 ;571 ;172 ;0.0261399745941 ;0.0315039157867
bitops-bitwise-and.js ;9 ;-90 ;1591 ;147 ;0.0292961597443 ;0.0323920249939
bitops-nsieve-bits.js ;37 ;-62 ;889 ;334 ;0.0277698040009 ;0.0444538593292
controlflow-recursive.js ;45 ;-86 ;675 ;304 ;0.0257968902588 ;0.0300230979919
crypto-aes.js ;45 ;-98 ;17164 ;7738 ;0.0367817878723 ;0.0374629497528
crypto-md5.js ;41 ;98 ;9903 ;4150 ;0.0311410427094 ;0.0306301116943
crypto-sha1.js ;25 ;-91 ;6507 ;1652 ;0.0409879684448 ;0.0448009967804
fbench.js ;0 ;-86 ;9592 ;1 ;0.0235049724579 ;0.0273530483246
function-closure.js ;29 ;97 ;81 ;24 ;0.0297470092773 ;0.0289750099182
function-correct-args.js ;18 ;-91 ;127 ;24 ;0.0321588516235 ;0.0354609489441
function-empty.js ;39 ;-96 ;61 ;24 ;0.0340440273285 ;0.0353028774261
function-excess-args.js ;22 ;97 ;107 ;24 ;0.0329258441925 ;0.0318908691406
function-missing-args.js ;24 ;92 ;99 ;24 ;0.037369966507 ;0.0342378616333
function-sum.js ;25 ;96 ;97 ;25 ;0.0349600315094 ;0.0337059497833
loop-empty-resolve.js ;58 ;92 ;36 ;21 ;0.0297470092773 ;0.0274798870087
loop-empty.js ;58 ;-97 ;41 ;24 ;0.052346944809 ;0.0539700984955
math-partial-sums.js ;34 ;-56 ;1078 ;374 ;0.0493979454041 ;0.0883247852325
math-spectral-norm.js ;54 ;-100 ;1028 ;558 ;0.0265769958496 ;0.0266299247742
string-fasta.js ;76 ;-86 ;1994 ;1530 ;0.0427010059357 ;0.0497651100159
string-unpack-code.js ;98 ;-98 ;167215 ;164948 ;0.0549948215485 ;0.0562131404877
 ;35 ;-32
